ID	State	Weight (pounds)
1	WA	192
2	WA	134
3	WA	160
4	WA	193
5	WA	109
6	WA	200
7	WA	172
8	WA	104
9	WA	123
10	WA	215
11	WA	216
12	WA	136
13	WA	219
14	WA	167
15	WA	126
16	WA	192
17	WA	194
18	WA	163
19	WA	193
20	WA	188
21	WA	142
22	WA	153
23	WA	215
24	WA	169
25	WA	155
26	WA	145
27	WA	177
28	WA	160
29	WA	122
30	WA	184
31	WA	170
32	WA	214
33	WA	194
34	WA	181
35	WA	134
36	WA	157
37	WA	187
38	WA	197
39	WA	181
40	WA	185
41	WA	121
42	WA	147
43	WA	210
44	WA	167
45	WA	214
46	WA	169
47	WA	175
48	WA	151
49	WA	104
50	WA	185
51	WA	115
52	WA	208
53	WA	108
54	WA	201
55	WA	117
56	WA	138
57	WA	139
58	WA	188
59	WA	195
60	WA	148
61	WA	183
62	WA	201
63	WA	196
64	WA	164
65	WA	179
66	WA	211
67	WA	132
68	WA	167
69	WA	220
70	WA	194
71	WA	208
72	WA	142
73	WA	109
74	WA	116
75	WA	128
76	WA	159
77	WA	125
78	WA	166
79	WA	126
80	WA	203
81	WA	178
82	WA	184
83	WA	141
84	WA	113
85	WA	100
86	WA	186
87	WA	164
88	WA	202
89	WA	196
90	WA	216
91	WA	135
92	WA	193
93	WA	155
94	WA	148
95	WA	132
96	WA	125
97	WA	132
98	WA	116
99	WA	182
100	WA	165
101	WA	138
102	WA	203
103	WA	166
104	WA	127
105	WA	168
106	WA	153
107	WA	124
108	WA	220
109	WA	148
110	WA	118
111	WA	113
112	WA	181
113	WA	176
114	WA	138
115	WA	191
116	OR	160
117	OR	215
118	OR	120
119	OR	196
120	OR	178
121	OR	133
122	OR	158
123	OR	122
124	OR	209
125	OR	127
126	OR	178
127	OR	165
128	OR	200
129	OR	148
130	OR	115
131	OR	170
132	OR	166
133	OR	112
134	OR	193
135	OR	196
136	OR	159
137	OR	124
138	OR	219
139	OR	185
140	OR	147
141	OR	173
142	OR	119
143	OR	158
144	OR	145
145	OR	168
146	OR	168
147	OR	207
148	OR	122
149	OR	130
150	OR	151
151	OR	204
152	OR	140
153	OR	146
154	OR	204
155	OR	191
156	OR	164
157	OR	173
158	OR	164
159	OR	176
160	OR	122
161	OR	157
162	OR	153
163	OR	144
164	OR	188
165	OR	195
166	OR	162
167	OR	220
168	OR	208
169	OR	214
170	OR	147
171	OR	193
172	OR	191
173	OR	167
174	OR	209
175	OR	213
176	OR	198
177	OR	190
178	OR	162
179	OR	186
180	OR	129
181	OR	164
182	CA	210
183	CA	119
184	CA	195
185	CA	109
186	CA	181
187	CA	141
188	CA	138
189	CA	108
190	CA	131
191	CA	143
192	CA	162
193	CA	117
194	CA	171
195	CA	123
196	CA	125
197	CA	156
198	CA	155
199	CA	201
200	CA	205
201	CA	180
202	CA	158
203	CA	105
